school_name,url_address,address_short,postal_code,address,Latitude,Longitude
NORTHBROOKS SECONDARY SCHOOL,http://www.northbrookssec.moe.edu.sg,585 YISHUN RING ROAD,768692,585 YISHUN RING ROAD Singapore 768692,1.4209822,103.8450852
NORTHLAND PRIMARY SCHOOL,http://www.northlandpri.moe.edu.sg,15  YISHUN AVENUE 4,769026,15  YISHUN AVENUE 4 Singapore 769026,1.4210098,103.8405561
NORTHLAND SECONDARY SCHOOL,http://www.northlandsec.moe.edu.sg,3 YISHUN STREET 22,768578,3 YISHUN STREET 22 Singapore 768578,1.4358598,103.8401975
NORTHLIGHT SCHOOL,https://www.nls.edu.sg,151 Towner Road,327830,151 Towner Road Singapore 327830,1.3197777,103.856139
NORTHOAKS PRIMARY SCHOOL,http://www.northoakspri.moe.edu.sg,61  Sembawang Drive,757622,61  Sembawang Drive Singapore 757622,1.4566726,103.8139677
NORTHSHORE PRIMARY SCHOOL,www.northshorepri.moe.edu.sg,30  Northshore Drive,828671,30  Northshore Drive Singapore 828671,1.4185162,103.9043644
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,www.nushigh.edu.sg,20  Clementi Avenue 1,129957,20  Clementi Avenue 1 Singapore 129957,1.3072221,103.7693352
OASIS PRIMARY SCHOOL,http://www.oasispri.moe.edu.sg/,71  Edgefield Plains,828716,71  Edgefield Plains Singapore 828716,1.404285,103.9109661
OPERA ESTATE PRIMARY SCHOOL,http://www.operaestatepri.moe.edu.sg,48  FIDELIO STREET,458436,48  FIDELIO STREET Singapore 458436,1.3195034,103.9236436
ORCHID PARK SECONDARY SCHOOL,http://www.orchidparksec.moe.edu.sg,10  YISHUN STREET 81,768454,10  YISHUN STREET 81 Singapore 768454,1.4153017,103.8383822
OUTRAM SECONDARY SCHOOL,http://www.outramsec.moe.edu.sg,3 YORK HILL,168622,3 YORK HILL Singapore 168622,1.2861277,103.8372952
PALM VIEW PRIMARY SCHOOL,http://www.palmviewpri.moe.edu.sg,150 Compassvale Bow,544822,150 Compassvale Bow Singapore 544822,1.384048,103.8909281
PARK VIEW PRIMARY SCHOOL,http://www.parkviewpri.moe.edu.sg,60  PASIR RIS DRIVE 1,519524,60  PASIR RIS DRIVE 1 Singapore 519524,1.3767026,103.9387243
PASIR RIS CREST SECONDARY SCHOOL,http://www.prcss.moe.edu.sg,11  PASIR RIS STREET 41,518934,11  PASIR RIS STREET 41 Singapore 518934,1.3728705,103.9595399
PASIR RIS PRIMARY SCHOOL,http://www.pasirrispri.moe.edu.sg,5 PASIR RIS STREET 21,518968,5 PASIR RIS STREET 21 Singapore 518968,1.3725581,103.9628036
PASIR RIS SECONDARY SCHOOL,http://pasirrissec.moe.edu.sg,390 TAMPINES STREET 21,529400,390 TAMPINES STREET 21 Singapore 529400,1.3547764,103.9486612
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),http://www.payalebarmethodistgirlspri.moe.edu.sg/,298 LORONG AH SOO,536741,298 LORONG AH SOO Singapore 536741,1.3509402,103.8848118
